  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
   50.4383965       7.99379587       2.64143869E-02   1.33765582E-03
   50.5804787       8.01119137       2.63975076E-02   2.88779312E-03
   50.7225571       8.02826500       2.63796691E-02  -2.08318001E-03
   50.8646393       8.04516697       2.63613611E-02  -1.65381609E-03
   51.0067177       8.06166458       2.63418388E-02   3.02639813E-03
   51.1487961       8.07802773       2.63219886E-02  -8.27441923E-04
   51.2908783       8.09425354       2.63017975E-02  -9.08665461E-05
   51.4329567       8.11030293       2.62811482E-02   6.05922309E-04
   51.5750389       8.12719059       2.62633208E-02  -1.09517481E-03
   51.7171173       8.14449024       2.62469202E-02   3.88894288E-04
   51.8591995       8.16182041       2.62307040E-02  -1.41080440E-04
   52.0012779       8.17871380       2.62131821E-02   1.05844624E-03
   52.1433563       8.19487762       2.61934213E-02  -1.05674926E-03
   52.2854385       8.21140385       2.61749215E-02   1.03209272E-03
   52.4275169       8.22831917       2.61577629E-02   2.90437695E-03
   52.5695992       8.24488640       2.61395890E-02  -5.24408557E-03
   52.7116776       8.26123619       2.61208266E-02  -9.91741312E-04
   52.8537560       8.27693939       2.61001308E-02   8.76336533E-04
   52.9958382       8.29177570       2.60768142E-02   2.72292737E-03
   53.1379166       8.30600357       2.60517150E-02   4.07156209E-03
   53.2799988       8.32022190       2.60267202E-02  -4.39983746E-03
   53.4220772       8.33515358       2.60040853E-02   2.98106740E-03
   53.5641594       8.34923553       2.59789247E-02  -2.05940544E-03
   53.7062378       8.36305332       2.59530786E-02  -3.45229032E-03
   53.8483162       8.37602997       2.59247646E-02   2.25575245E-03
   53.9903984       8.38975620       2.58989148E-02  -3.55179049E-03
   54.1324768       8.40436745       2.58759242E-02  -7.67298625E-04
   54.2745590       8.41814899       2.58505084E-02   2.79077236E-03
   54.4166374       8.43084145       2.58218870E-02  -3.77481883E-05
   54.5587158       8.44296265       2.57916711E-02  -3.92495934E-03
   54.7007980       8.45423603       2.57590283E-02   4.14357195E-03
   54.8428764       8.46608067       2.57282909E-02  -5.33549988E-04
   54.9849586       8.47711277       2.56952476E-02   4.46320861E-04
   55.1270370       8.48769855       2.56610289E-02   1.32666063E-03
   55.2691193       8.49717522       2.56236382E-02  -1.36656361E-03
   55.4111977       8.50684738       2.55870279E-02  -4.53743432E-03
